Age,Gender,Exercise Level,Sleep Hours,Work Hours per Week,Stress Score
23,Female,Medium,8.2,42.1,38.84
18,Male,High,5.6,44.9,53.83
32,Male,Medium,8.0,39.4,45.67
57,Male,Low,6.6,60.0,63.75
25,Male,Low,7.5,24.0,36.57
37,Female,High,9.6,68.1,50.83
20,Male,High,5.4,22.4,33.75
52,Female,High,6.2,67.0,60.68
52,Female,Medium,4.1,75.0,84.87
53,Female,High,9.0,57.2,40.58
33,Male,Low,6.4,43.4,52.71
46,Male,High,6.7,62.4,57.72
37,Female,High,9.2,42.7,33.16
45,Male,High,5.3,79.7,84.2
21,Female,Low,6.8,76.4,77.13
49,Male,Low,8.0,60.7,66.44
40,Male,Low,7.8,23.3,50.26
42,Male,Medium,5.7,29.4,54.38
21,Male,High,5.2,22.5,37.63
34,Male,Medium,5.0,21.1,48.04
60,Male,Medium,8.1,74.6,63.51
43,Female,Low,4.9,54.4,76.86
53,Female,Medium,8.4,25.7,32.61
37,Female,Low,6.5,25.1,56.97
33,Female,Medium,7.6,50.1,55.27
44,Male,High,5.7,68.2,75.45
37,Male,Medium,8.1,56.2,57.27
32,Male,Low,4.4,40.1,60.94
29,Male,Low,9.1,76.3,58.61
28,Female,Medium,6.5,30.1,41.0
55,Female,Medium,4.4,46.3,63.58
54,Female,Low,9.8,46.4,42.81
57,Male,Medium,7.8,33.2,31.1
27,Male,Low,6.1,38.1,65.58
43,Female,High,8.7,24.6,35.16
40,Female,Medium,9.0,62.4,56.73
22,Female,Medium,8.7,38.2,32.2
61,Female,Medium,9.3,46.5,46.95
59,Male,High,4.3,45.1,55.28
30,Male,Medium,8.0,66.6,60.98
32,Male,High,4.8,53.8,61.14
57,Female,Medium,5.2,49.4,65.14
29,Female,Medium,9.0,41.7,41.26
35,Female,High,8.2,45.0,41.83
57,Male,Low,9.7,30.5,38.68
43,Female,High,6.4,78.2,76.79
30,Female,High,4.8,54.3,51.71
47,Male,High,5.1,69.5,67.99
55,Female,High,7.4,28.6,28.86
52,Female,High,9.4,40.2,31.66
46,Male,Low,5.1,60.4,78.82
38,Female,High,7.5,65.1,58.62
59,Female,Low,7.8,65.0,61.87
50,Male,High,5.2,37.6,48.1
44,Male,High,5.7,32.5,42.33
30,Male,Low,6.8,65.6,65.1
19,Female,Medium,7.1,62.2,64.22
46,Female,Medium,6.9,60.5,68.54
34,Female,High,7.7,74.6,54.57
48,Male,High,7.8,36.7,44.6
26,Female,High,5.0,21.5,36.24
26,Female,High,6.8,66.4,60.74
25,Female,High,5.0,42.8,53.91
28,Male,High,7.9,32.6,29.74
38,Male,High,9.6,42.0,30.07
62,Female,High,7.1,66.5,50.14
28,Female,Low,6.0,37.6,50.98
56,Female,High,7.7,60.7,45.48
19,Female,High,7.6,50.4,38.34
60,Female,Medium,6.7,60.7,60.75
53,Male,Medium,8.8,36.7,30.18
45,Male,Medium,6.1,70.1,80.88
25,Female,Medium,9.6,23.7,15.78
33,Female,High,4.9,78.1,69.52
51,Male,Medium,4.0,23.6,58.43
37,Female,Medium,5.1,37.7,53.82
44,Female,Low,4.0,32.7,74.85
43,Male,Medium,9.1,41.4,45.92
21,Male,High,4.6,46.4,56.87
20,Female,Low,6.6,69.9,68.1
50,Female,Medium,8.1,77.0,61.98
32,Female,Low,5.0,27.0,57.9
60,Female,High,4.1,54.9,56.59
52,Female,High,8.2,44.7,37.36
25,Male,High,8.8,26.3,21.86
54,Female,High,9.9,32.9,14.17
19,Male,High,8.0,51.9,33.52
43,Male,High,8.5,53.7,41.14
45,Female,Medium,5.6,78.2,80.05
64,Female,High,4.7,21.6,40.86
39,Female,Low,7.7,35.2,56.67
59,Male,High,8.9,48.6,32.7
25,Female,High,4.3,53.4,53.45
55,Male,Medium,9.5,53.9,37.34
25,Male,High,8.9,43.1,29.1
52,Female,Medium,8.1,24.6,31.04
51,Female,High,6.9,44.5,37.58
35,Female,Low,9.6,70.7,62.31
61,Male,High,7.7,76.3,60.05
34,Male,High,5.4,60.9,64.95
61,Female,Low,6.6,74.0,85.72
52,Female,Low,7.2,52.3,59.32
32,Male,Medium,5.1,29.4,53.27
21,Male,Medium,5.0,72.8,74.64
25,Female,High,8.4,77.5,48.12
25,Male,High,6.3,39.0,37.26
47,Female,Medium,7.2,60.6,61.63
51,Male,Medium,4.9,70.0,75.4
63,Female,Low,9.5,35.1,46.85
57,Female,Low,5.9,54.4,68.01
20,Female,High,8.3,61.8,41.19
34,Male,High,6.1,60.3,59.0
39,Male,Medium,8.7,36.0,48.65
20,Male,High,6.8,45.9,39.17
26,Male,Medium,7.7,33.4,34.03
40,Female,Low,5.0,30.3,64.87
42,Female,Medium,8.3,61.4,54.89
58,Male,Medium,5.0,40.1,50.19
28,Male,Low,9.0,78.5,61.23
19,Female,Low,6.5,23.0,39.81
35,Male,Low,8.4,76.8,80.71
60,Male,High,4.2,55.3,60.75
56,Female,Medium,4.4,52.1,67.94
25,Male,High,6.2,53.0,41.81
29,Male,Medium,5.0,33.3,47.94
53,Male,Low,4.5,31.6,56.88
64,Female,Low,4.5,32.7,68.92
62,Female,Low,6.7,40.1,56.75
63,Female,High,5.3,32.5,40.56
46,Female,Low,5.6,41.7,68.13
33,Female,Low,9.0,55.1,51.05
51,Male,High,7.8,35.6,39.03
64,Female,Low,5.4,44.7,63.34
64,Male,Low,4.8,52.7,68.55
22,Female,High,8.4,41.6,34.22
46,Female,Medium,4.2,46.7,69.73
21,Male,Medium,8.8,59.6,48.51
48,Male,High,6.8,57.2,54.23
19,Female,Low,7.0,58.7,57.93
48,Male,Low,4.8,26.0,66.26
64,Female,High,6.8,49.5,41.22
64,Female,Low,8.6,35.2,51.74
61,Male,Medium,5.7,25.6,52.05
20,Female,High,8.1,55.7,43.15
33,Female,Medium,6.6,36.6,49.08
27,Female,Medium,5.4,57.5,66.84
59,Male,Low,7.9,32.7,41.87
60,Male,Low,10.0,31.0,38.02
29,Female,Low,6.8,20.8,37.82
51,Female,High,7.8,45.6,39.75
41,Female,High,7.8,68.3,55.56
32,Female,Low,7.5,53.8,60.44
27,Female,Medium,9.0,27.6,32.07
29,Female,Medium,8.3,37.6,37.23
33,Male,Low,5.8,70.3,79.91
55,Male,High,4.0,36.3,47.97
21,Male,High,7.6,21.0,27.43
33,Male,Low,9.0,27.6,31.36
32,Female,Low,9.0,75.1,67.59
62,Male,High,8.4,66.8,42.32
50,Male,High,5.9,53.3,52.09
40,Female,Low,9.7,53.9,56.3
23,Male,Low,6.3,60.0,77.62
44,Male,High,6.9,28.3,31.73
56,Male,Medium,6.7,51.9,61.27
52,Female,Medium,6.8,39.2,46.91
18,Male,Medium,8.0,60.9,48.75
50,Male,High,8.0,27.2,33.35
37,Male,High,9.2,50.0,43.0
62,Male,Low,8.0,66.0,63.57
64,Male,Low,9.1,31.8,35.38
59,Female,High,6.9,55.1,49.8
37,Female,High,9.0,78.5,56.76
31,Male,Medium,5.8,76.0,72.14
36,Female,Medium,5.5,38.5,60.02
18,Male,High,4.8,73.6,61.4
56,Male,Low,8.2,66.2,63.35
54,Female,Low,5.9,23.4,56.78
21,Male,Low,8.1,38.4,46.39
58,Male,Low,4.7,55.1,84.35
43,Male,Medium,6.8,24.6,38.34
52,Female,Low,4.6,26.8,67.86
62,Male,Medium,9.3,44.9,36.22
64,Male,Medium,7.9,23.7,37.72
59,Male,Medium,4.8,31.9,47.75
24,Female,Low,4.7,72.1,81.81
61,Male,Medium,4.2,57.2,73.73
21,Male,High,7.6,72.3,54.89
41,Male,Medium,7.2,60.7,64.33
35,Female,Low,4.9,29.1,64.92
21,Male,Low,7.1,39.1,52.98
58,Female,Medium,4.5,48.6,66.37
47,Female,Medium,5.8,31.7,55.48
43,Male,Medium,5.1,63.3,67.6
39,Male,Low,6.5,79.7,79.34
59,Male,Medium,8.9,77.0,51.33
26,Female,Low,4.1,33.6,66.62
32,Female,High,6.3,23.3,33.07
60,Female,Medium,5.3,46.6,51.77
28,Female,High,7.5,41.2,40.52
39,Female,High,7.8,67.1,58.09
33,Male,Medium,5.0,44.9,49.82
26,Female,Low,8.9,69.5,66.89
49,Male,Medium,7.3,42.4,53.8
64,Male,High,8.5,34.6,30.84
29,Male,Medium,7.1,49.0,47.69
37,Male,High,4.4,24.3,49.81
30,Male,Low,7.3,77.6,67.64
32,Male,Medium,8.9,74.2,55.32
61,Male,Medium,9.7,70.5,47.84
42,Female,Low,4.8,27.4,65.8
58,Female,Low,4.4,61.4,86.06
42,Female,Medium,6.3,53.3,56.18
45,Male,High,8.6,44.8,41.95
45,Male,Medium,9.9,22.5,34.28
23,Female,High,6.4,34.2,31.05
35,Male,Medium,8.1,52.8,53.42
29,Male,Low,5.7,41.0,66.35
52,Male,Low,8.1,77.7,76.72
41,Male,Low,6.5,78.7,81.84
36,Female,High,5.6,63.9,63.38
45,Male,Low,5.1,77.4,99.31
52,Female,Medium,6.4,51.2,64.05
33,Female,High,6.4,28.0,28.32
39,Male,Medium,9.4,79.5,57.83
40,Male,High,6.9,45.1,45.85
60,Female,High,5.5,59.4,53.82
44,Male,Medium,4.4,69.6,77.96
24,Female,High,5.6,61.7,58.57
48,Male,Medium,7.1,27.8,43.22
37,Male,Medium,6.5,56.0,63.62
42,Female,Medium,6.5,74.5,70.2
23,Male,High,7.5,76.5,51.2
52,Male,High,7.8,53.0,42.02
62,Male,Medium,7.9,36.5,40.29
60,Female,Low,5.9,57.6,77.4
42,Female,Medium,9.5,54.3,42.53
51,Female,High,6.3,46.2,48.22
38,Female,Medium,7.7,24.9,32.8
59,Female,Medium,8.3,54.7,41.05
26,Male,High,6.3,71.8,56.54
43,Female,Low,4.1,29.2,75.96
22,Female,High,8.0,60.7,51.78
59,Male,Medium,5.3,28.0,50.62
63,Female,Low,4.8,20.1,62.36
59,Male,Low,8.0,34.3,52.25
24,Female,Medium,6.5,32.6,50.64
56,Male,High,6.3,42.4,50.69
48,Male,High,9.8,43.6,26.9
19,Male,Low,6.6,57.9,70.89
20,Female,High,6.6,58.7,54.68
36,Female,High,4.0,51.4,72.86
41,Male,High,8.5,73.8,62.39
36,Female,High,4.2,67.3,81.26
57,Male,Medium,5.9,68.5,74.81
62,Male,High,9.1,65.9,38.39
41,Female,High,9.1,39.7,26.75
63,Female,High,7.1,27.2,28.87
20,Male,Medium,4.0,46.7,56.78
56,Female,High,8.9,76.7,48.75
24,Male,Low,8.2,64.5,65.66
21,Male,High,7.8,38.4,38.35
18,Male,Medium,4.5,31.7,57.29
59,Male,Low,5.1,63.2,79.72
34,Male,Low,9.9,75.9,68.14
52,Female,Medium,8.0,61.8,52.07
34,Female,High,7.7,38.4,30.58
32,Female,High,8.1,57.9,39.05
20,Female,High,9.2,27.9,27.37
49,Female,Medium,9.5,33.3,28.31
32,Female,Medium,6.1,51.2,54.95
46,Male,High,4.7,45.0,51.91
44,Female,Medium,4.4,59.8,77.54
46,Female,Low,6.5,69.1,87.62
60,Male,Medium,4.3,75.8,83.77
47,Female,Low,10.0,46.1,57.09
33,Male,Low,7.4,48.7,63.43
19,Male,High,9.5,70.6,46.96
46,Female,High,4.4,63.4,78.17
50,Male,Low,6.1,42.5,69.6
45,Female,Low,8.5,75.1,68.37
51,Male,Medium,5.1,22.3,43.94
35,Female,Low,8.4,61.2,71.9
34,Male,Medium,9.2,20.6,26.81
21,Male,High,6.9,79.2,65.12
39,Female,Low,9.3,43.9,58.16
46,Male,Medium,6.1,20.4,43.33
23,Female,High,4.0,38.5,47.61
41,Female,High,5.1,45.7,50.42
52,Female,Medium,6.6,78.6,75.98
58,Female,Medium,9.0,40.4,40.02
34,Female,Medium,8.0,70.7,63.98
20,Female,High,4.7,24.2,46.3
18,Female,Low,7.3,24.7,51.67
44,Male,Low,4.8,46.4,75.96
43,Female,Low,9.0,50.1,49.72
40,Male,Low,5.7,37.3,64.62
21,Female,Medium,6.7,55.5,58.58
34,Male,Medium,7.9,44.7,45.36
64,Male,Medium,4.5,42.6,59.2
40,Male,Medium,5.3,35.7,65.35
50,Male,Low,9.1,26.9,46.76
19,Male,Medium,4.7,78.9,77.19
31,Male,Medium,8.6,57.7,49.09
50,Male,Low,9.5,73.2,70.54
35,Male,High,8.9,53.7,45.8
23,Male,Medium,4.9,55.8,69.45
34,Male,Medium,9.8,59.5,43.02
29,Female,Low,7.2,65.6,72.2
63,Male,Medium,6.8,42.7,49.34
30,Male,Low,8.1,21.5,41.41
50,Male,Medium,8.4,41.6,39.25
58,Male,Medium,5.8,25.4,50.78
19,Female,Low,5.5,68.7,76.55
34,Male,Medium,9.8,32.3,30.09
38,Female,High,5.7,24.9,48.39
59,Female,Low,7.6,32.1,55.31
46,Male,Medium,7.0,55.0,61.61
61,Male,Low,5.5,47.9,64.2
36,Female,Medium,6.5,40.5,61.65
35,Female,Low,5.1,75.0,92.25
61,Male,Low,5.9,63.5,80.75
43,Male,Low,7.6,40.4,59.54
41,Male,Medium,6.4,23.1,43.37
33,Female,Medium,7.5,47.9,48.65
37,Female,High,8.5,52.7,39.88
24,Male,Medium,4.2,42.8,54.21
21,Male,Medium,9.7,45.6,33.84
29,Female,Low,8.2,35.1,44.76
43,Male,Medium,4.1,41.5,64.2
34,Female,Medium,4.9,63.7,70.49
29,Female,Medium,9.1,45.1,33.92
61,Male,Medium,4.4,73.8,73.27
29,Female,High,7.7,39.5,29.05
49,Female,High,6.0,72.2,61.65
24,Male,Low,5.1,45.8,62.26
40,Male,Low,4.7,28.4,62.93
43,Male,Low,9.0,62.3,71.41
52,Male,Medium,5.6,61.8,61.5
63,Female,Low,8.9,26.1,43.57
48,Male,Low,7.4,56.0,63.75
59,Male,Medium,9.4,55.0,37.43
29,Male,Medium,7.6,31.5,39.64
29,Male,Medium,7.2,40.1,44.15
27,Male,Low,6.3,50.4,69.86
38,Female,Low,4.8,24.2,69.63
40,Male,Low,6.0,64.2,73.55
61,Female,Medium,9.5,20.7,23.65
55,Female,High,4.5,78.3,74.76
38,Male,Medium,6.7,48.5,62.44
45,Male,Medium,5.2,50.3,71.12
49,Female,Medium,6.8,67.5,67.17
57,Female,High,4.7,22.7,40.05
38,Female,Medium,4.6,43.6,67.61
35,Female,Medium,5.9,26.4,47.13
27,Male,Low,9.8,78.2,68.81
64,Male,Low,5.7,57.8,72.81
36,Female,High,5.6,30.2,39.52
51,Male,Low,6.9,74.8,79.14
47,Female,Low,5.9,33.2,63.43
29,Female,High,8.5,52.0,43.12
29,Female,High,8.1,76.0,54.36
33,Male,Medium,8.6,44.4,45.31
22,Male,Medium,8.3,36.3,32.99
32,Female,High,8.0,44.1,31.76
32,Female,Low,6.2,32.5,57.26
54,Male,Low,6.7,35.2,54.42
56,Female,Low,4.8,32.2,67.52
21,Female,High,4.1,22.1,40.71
54,Female,Low,4.5,52.3,82.85
45,Female,High,4.8,76.1,80.75
59,Male,Medium,6.2,76.3,68.34
50,Male,Low,8.6,75.8,69.85
32,Female,High,4.4,43.2,49.16
29,Female,High,7.9,63.1,54.46
29,Female,Low,6.6,72.2,70.29
52,Female,High,7.9,36.4,34.47
46,Male,High,6.7,64.5,56.3
29,Female,Low,5.7,42.2,64.87
34,Female,High,4.3,55.0,65.84
56,Female,Low,6.0,67.7,70.92
26,Female,High,5.5,76.0,60.09
48,Male,High,8.5,38.6,36.6
41,Male,Medium,7.5,67.9,71.29
21,Female,Medium,6.3,78.0,73.41
39,Female,Low,10.0,45.6,43.81
38,Female,High,9.2,33.2,24.04
37,Male,High,9.8,50.8,33.44
54,Male,High,5.8,31.6,34.66
53,Female,High,6.8,33.6,31.47
21,Male,Medium,8.9,20.4,22.94
58,Male,High,9.3,47.6,35.73
38,Female,Low,8.3,36.9,48.2
38,Male,Low,4.3,21.2,59.29
57,Female,High,4.2,67.0,61.78
31,Female,Low,7.4,67.5,76.45
61,Female,High,9.3,73.6,45.04
38,Female,High,4.3,75.9,71.68
55,Female,Low,9.8,28.6,37.51
23,Male,Low,8.9,62.5,59.51
59,Male,High,4.5,29.3,44.96
55,Male,High,4.4,26.9,50.72
40,Female,High,5.6,40.8,57.1
19,Male,High,8.1,54.2,42.33
37,Male,Low,4.1,52.0,85.99
36,Male,Low,10.0,37.3,45.81
34,Male,Low,4.3,27.8,53.78
21,Female,Low,5.4,52.6,73.33
35,Female,Low,8.0,28.0,55.26
28,Male,High,6.3,40.8,40.52
32,Female,Low,7.1,67.8,67.87
37,Male,Low,5.3,50.3,72.1
49,Female,High,7.1,46.7,55.73
44,Female,Medium,7.9,72.4,61.81
25,Female,High,8.3,42.3,25.96
55,Male,High,7.5,63.1,44.69
52,Female,Low,7.1,61.4,74.13
42,Female,Medium,7.2,61.3,59.66
37,Male,Medium,4.6,69.3,74.79
24,Male,High,6.9,39.2,32.57
55,Female,High,6.5,46.7,47.46
34,Female,High,8.1,63.0,47.34
56,Male,Medium,4.4,55.8,72.78
51,Female,High,4.2,70.6,70.99
20,Male,Medium,8.1,27.1,24.95
46,Female,Low,7.7,52.7,59.47
56,Female,Low,5.6,65.6,82.04
26,Male,Low,6.2,43.5,68.31
52,Male,Low,5.8,63.0,73.72
61,Male,Low,9.1,70.7,61.58
34,Female,Low,4.4,62.1,72.88
19,Female,High,9.2,46.7,24.75
20,Male,Medium,9.9,74.6,55.95
30,Male,Low,8.0,56.6,66.11
50,Male,Medium,7.4,36.5,47.16
22,Female,High,8.3,30.4,26.18
51,Male,High,5.4,49.5,50.2
58,Male,Low,4.3,46.8,74.9
56,Male,Low,9.2,62.5,52.44
23,Female,Medium,9.4,57.7,42.02
46,Female,Low,8.6,35.9,56.26
22,Male,Medium,7.8,24.9,30.64
48,Female,Medium,5.6,45.9,70.15
40,Male,Medium,7.5,49.3,54.94
30,Male,High,9.5,46.1,22.99
37,Female,Low,4.5,26.7,59.46
24,Female,High,5.6,43.1,53.76
51,Male,High,6.7,50.4,48.28
46,Female,Low,5.0,46.2,74.59
46,Female,High,4.1,61.8,75.25
38,Male,High,6.1,21.3,31.79
64,Female,High,7.9,27.7,30.47
56,Male,Low,8.5,55.3,53.44
19,Female,Medium,8.2,47.6,35.91
19,Female,Medium,9.6,58.5,39.57
38,Male,High,9.8,41.6,31.07
63,Female,Low,8.5,62.0,58.91
43,Female,Low,4.8,59.3,76.82
54,Male,High,9.3,46.9,31.34
38,Female,Medium,8.4,50.1,51.6
55,Female,Low,9.3,34.6,43.01
55,Male,High,7.8,21.5,28.47
25,Female,Medium,6.6,40.5,47.59
32,Female,Medium,8.5,63.6,56.78
62,Female,Low,4.3,55.3,84.31
33,Female,Medium,5.2,79.9,77.52
44,Female,Low,4.2,64.1,91.95
45,Female,High,8.1,73.6,61.68
58,Male,Medium,4.8,60.6,75.51
18,Male,Medium,7.1,40.6,41.89
23,Male,Medium,7.7,66.9,60.06
40,Female,Medium,8.5,71.1,58.93
18,Male,Low,6.6,22.0,53.46
58,Male,High,8.3,30.6,23.56
61,Male,Medium,6.9,20.9,42.74
41,Female,High,7.9,34.0,31.28
51,Male,Low,8.5,38.6,47.35
52,Male,Medium,4.0,79.0,90.87
40,Male,High,6.7,35.5,49.39
50,Male,High,5.2,56.8,58.88
37,Female,Low,9.7,60.6,57.14
52,Female,Medium,4.6,28.6,45.92
36,Male,Low,4.8,27.8,67.61
54,Male,Low,5.0,27.5,57.27
19,Male,High,4.1,26.2,38.82
34,Female,High,4.8,45.5,49.12
19,Female,Medium,6.8,61.1,53.61
64,Male,Medium,4.6,66.8,80.68
33,Female,Low,6.6,46.3,57.38
34,Female,Medium,6.7,76.4,74.68
59,Male,Low,5.5,24.0,51.06
46,Male,Medium,8.3,35.4,45.88
46,Male,Low,5.8,47.5,65.56
56,Female,High,7.9,44.3,39.15
55,Male,Medium,9.5,36.2,37.26
42,Male,Medium,4.5,44.8,70.04
54,Female,Medium,8.8,28.1,38.54
26,Female,Low,5.8,26.0,48.87
20,Female,Low,5.6,25.6,51.81
20,Female,Low,8.3,74.4,62.65
40,Male,Medium,4.4,23.4,48.81
61,Male,Medium,5.5,38.4,53.13
59,Female,Medium,8.4,30.4,31.91
54,Female,High,4.8,54.9,56.34
20,Female,Low,8.9,45.9,53.38
59,Female,Low,8.3,34.9,53.82
35,Male,Medium,7.9,36.6,44.58
60,Male,Low,5.9,50.4,62.71
26,Male,Low,8.0,40.6,42.39
36,Male,High,4.1,55.2,67.22
59,Male,High,8.5,28.7,31.75
50,Male,High,6.3,30.7,40.37
59,Female,Low,9.0,44.9,45.78
30,Female,Low,7.2,23.2,46.83
47,Female,Low,10.0,48.8,51.71
55,Female,Low,9.2,74.3,57.6
35,Male,Low,7.0,31.5,56.38
46,Female,Medium,9.0,47.8,46.05
29,Male,Medium,7.3,27.8,34.25
42,Male,Low,6.7,66.7,74.35
32,Female,Medium,9.1,76.0,62.0
52,Female,High,4.5,79.1,77.6
36,Male,Medium,9.8,30.5,34.51
28,Male,Medium,6.9,78.4,59.74
46,Female,Low,7.1,21.5,49.1
41,Male,Medium,8.4,61.1,52.38
52,Female,Medium,4.2,32.4,62.79
33,Female,Low,9.8,40.5,38.4
40,Female,Medium,9.1,44.5,51.22
31,Female,Low,4.2,27.3,63.44
35,Male,Medium,8.6,68.7,58.7
59,Male,Medium,7.1,22.2,28.98
34,Male,High,4.5,76.2,76.36
29,Female,Medium,8.8,71.0,50.23
28,Male,High,7.4,42.6,44.61
56,Female,Medium,4.1,77.6,75.82
40,Male,Medium,8.2,20.9,27.25
54,Male,Medium,4.1,52.5,67.93
55,Female,Medium,4.8,65.9,68.39
58,Male,High,7.9,30.3,35.54
29,Female,Low,4.5,58.6,82.19
51,Female,High,5.5,68.2,68.62
37,Male,Low,6.7,65.2,71.84
37,Female,Medium,5.6,37.8,49.58
42,Female,Medium,5.6,72.5,71.8
40,Female,Medium,7.7,41.4,53.39
53,Male,High,5.6,39.2,50.19
35,Male,Medium,9.2,55.6,43.81
33,Male,Medium,8.2,65.5,47.24
50,Male,Low,9.6,50.8,62.09
31,Male,Medium,9.1,49.6,39.36
40,Female,Medium,4.3,53.3,74.14
49,Male,Medium,7.4,34.3,50.86
54,Female,Low,4.6,34.3,72.34
44,Female,Medium,5.0,46.8,60.91
24,Female,High,7.3,53.1,41.69
38,Female,High,6.3,35.5,41.61
41,Male,Low,5.2,62.6,75.98
20,Female,Medium,5.7,63.4,71.84
62,Female,High,4.3,71.2,66.44
24,Female,High,8.3,39.2,36.99
59,Female,Low,7.1,34.1,46.6
41,Male,High,9.9,42.6,38.65
35,Female,Medium,9.5,49.6,44.09
25,Female,Medium,8.0,23.1,23.48
52,Male,High,9.0,71.9,49.82
47,Male,High,4.9,37.1,51.44
32,Male,Medium,5.2,38.8,55.05
21,Female,Medium,4.7,71.0,74.9
45,Female,Medium,4.7,72.6,86.94
31,Female,Medium,7.8,76.8,63.64
29,Male,Low,8.3,50.3,56.82
42,Male,Medium,8.3,28.2,43.44
61,Female,Medium,8.4,73.3,52.2
25,Male,Low,9.9,23.4,24.64
50,Female,High,5.7,42.2,47.1
23,Female,Medium,7.4,30.2,32.29
19,Male,High,7.0,49.9,37.0
31,Female,Medium,8.8,67.3,48.26
23,Male,Medium,4.6,26.1,43.94
57,Male,High,8.2,29.4,23.59
61,Female,Low,9.7,56.7,44.75
38,Female,High,7.9,25.4,38.82
45,Male,Medium,5.9,67.3,76.06
62,Male,High,9.6,26.3,15.01
25,Male,High,6.2,29.1,39.87
57,Female,High,6.2,26.3,37.75
55,Female,Medium,8.7,43.4,41.49
45,Male,High,7.0,43.0,53.95
36,Female,High,6.5,43.4,51.74
24,Female,Medium,7.3,64.4,61.7
35,Male,Low,8.8,63.2,59.66
36,Male,High,5.7,39.7,44.71
21,Male,High,7.7,59.8,51.02
50,Female,Medium,6.8,51.2,54.05
35,Male,Medium,4.3,71.8,81.15
61,Male,High,6.1,75.7,58.04
50,Female,Medium,9.8,66.5,55.23
50,Male,Medium,5.2,69.6,79.09
44,Male,High,6.3,46.7,46.3
34,Female,Low,4.5,38.2,69.96
24,Male,Low,10.0,61.9,49.36
63,Female,Medium,5.9,67.0,67.14
60,Male,Low,5.0,53.9,74.95
45,Female,Medium,7.2,68.5,65.32
64,Female,Medium,5.6,36.7,58.56
46,Male,Low,5.9,25.1,61.48
30,Male,Low,6.6,46.5,63.39
58,Male,High,6.8,23.2,23.45
28,Female,Medium,5.6,45.3,48.25
57,Male,Medium,6.8,37.2,42.16
30,Female,High,7.8,68.3,55.34
24,Female,Low,9.9,55.8,52.82
56,Female,High,4.2,54.2,68.53
43,Female,Low,6.7,76.7,87.11
53,Male,Low,7.2,57.8,61.89
44,Male,High,7.0,23.6,41.65
54,Male,High,9.6,74.7,42.21
30,Male,Low,7.5,76.9,66.59
22,Male,High,4.2,34.8,48.15
55,Female,High,10.0,36.0,27.89
39,Female,Low,8.4,58.0,59.61
29,Female,Medium,7.0,39.8,43.64
59,Male,Low,7.3,67.8,72.74
33,Male,High,7.1,21.4,24.76
46,Male,Medium,5.2,32.3,50.97
32,Male,High,6.5,43.1,48.4
35,Male,Medium,9.9,47.9,34.57
55,Female,Medium,4.6,63.8,70.66
42,Female,Medium,7.5,63.3,69.59
29,Male,Medium,7.4,53.2,44.32
46,Female,Medium,5.6,21.3,51.24
31,Male,Low,7.2,78.1,75.48
48,Male,Medium,7.6,23.0,32.13
40,Female,High,4.4,63.3,67.05
37,Female,Low,5.6,61.2,88.24
27,Male,Medium,9.1,41.4,31.1
53,Male,High,5.3,46.9,56.87
58,Female,High,9.5,51.0,27.23
29,Male,High,7.8,41.6,33.19
64,Female,Medium,7.0,70.2,59.13
29,Male,Medium,8.2,34.3,33.38
38,Male,High,4.2,33.3,59.47
47,Male,Low,9.9,70.5,57.51
52,Male,Low,5.7,40.9,70.6
41,Female,Low,9.1,67.9,67.74
30,Male,Medium,5.3,52.2,64.31
21,Male,Low,8.8,31.2,33.83
34,Male,High,4.5,41.6,56.91
58,Female,High,9.6,20.5,8.74
56,Male,Medium,7.0,23.7,40.59
21,Female,Medium,8.8,78.0,54.01
24,Male,Low,8.2,60.3,56.48
27,Female,High,6.0,51.3,50.61
20,Female,Low,8.3,42.0,42.28
46,Female,Low,9.3,55.6,61.06
19,Male,Medium,4.9,41.4,58.97
30,Female,Low,6.0,64.9,74.72
50,Female,Low,4.5,62.4,94.12
37,Male,High,9.3,76.5,58.35
27,Female,Medium,6.5,48.2,44.95
43,Male,High,6.1,30.6,46.64
47,Male,High,4.7,35.1,60.03
34,Female,Low,7.3,76.7,69.93
51,Female,Medium,4.8,52.2,71.9
60,Male,High,4.5,56.3,54.5
18,Female,Medium,8.4,32.0,31.07
43,Female,High,5.8,51.5,59.62
52,Female,Low,8.9,30.3,46.38
28,Female,Medium,8.5,46.3,46.12
48,Male,Low,7.1,58.4,69.05
48,Male,Low,4.5,47.0,82.28
20,Male,High,8.2,25.4,23.2
62,Female,Medium,5.1,73.5,74.44
32,Female,Medium,5.9,30.7,40.45
51,Male,Medium,4.9,23.9,51.47
18,Female,Low,8.9,43.3,52.07
38,Female,High,9.6,43.7,38.51
50,Female,Medium,9.2,22.5,35.55
30,Female,Low,5.5,53.3,70.28
63,Male,Low,8.5,21.1,38.32
34,Female,Medium,6.2,41.1,49.83
27,Male,Medium,5.3,60.6,70.01
49,Female,Medium,8.0,41.3,52.53
19,Male,Medium,4.1,20.2,43.03
39,Female,Medium,8.9,75.8,63.73
53,Female,Low,4.6,33.9,68.51
29,Female,High,4.1,29.2,49.3
64,Male,Low,7.5,73.2,79.52
54,Male,Low,7.5,67.2,62.55
50,Female,Medium,6.8,20.2,33.1
27,Female,Low,7.4,76.6,66.2
41,Female,Low,8.6,67.4,71.95
56,Male,Medium,10.0,60.8,37.12
32,Male,Low,8.3,26.9,40.54
40,Male,High,9.8,30.5,20.1
51,Male,Low,5.7,36.8,55.77
